user_id,item_id,rank,score,item_name,item_category,brand,price
444056,3744636,1,0.795829145763153,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,华为,4415.07
444056,2734479,2,0.7073656135129559,格力微波炉P70-20L,家用电器,格力,1624.95
444056,7611004,3,0.7021705007593767,索菲亚推拉门衣柜 2.2m 黑色,家居用品,索菲亚,4644.84
444056,2491976,4,0.6501162905347786,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,阿迪达斯,176.21
444056,3787731,5,0.5836696829965192,美的冰箱BCD-638WKPZM(E),家用电器,美的,3261.4
576877,3111890,1,0.8849733953539585,欧派浴室柜 80cm 灰色,家居用品,欧派,2903.45
576877,8033659,2,0.7837089625501731,宜家爱克托沙发 白色,家居用品,宜家,9036.23
576877,1723455,3,0.7505866004569881,宜家毕利书架 80cm 白色,家居用品,宜家,451.79
576877,4004170,4,0.6469569757221008,海尔冰箱BCD-478WDPD,家用电器,海尔,5326.21
576877,3412254,5,0.6366454021436688,欧派北欧风双人床 1.8m 米色,家居用品,欧派,2497.56
497382,1697102,1,0.6531895387134725,安踏运动外套 防风系列 蓝色 XL码,服装鞋帽,安踏,557.15
497382,3111890,2,0.6311689667680306,欧派浴室柜 80cm 灰色,家居用品,欧派,2903.45
497382,1723455,3,0.6150356297030188,宜家毕利书架 80cm 白色,家居用品,宜家,451.79
497382,5954090,4,0.6060633852317451,华硕天选4 i7/16GB/1TB,电子产品,华硕,2346.39
497382,8758579,5,0.5814641466602907,迪奥粉底液 010 30ml,美妆护肤,迪奥,397.75
305047,213997,1,0.6788016866739226,VIVOX100 256GB 蓝色,电子产品,VIVO,6667.81
305047,1297632,2,0.6741095674826796,顾家茶几 60cm 灰色,家居用品,顾家,1642.62
305047,2889495,3,0.5955345650710105,华硕灵耀14 i5/16GB/512GB,电子产品,华硕,7916.2
305047,7646024,4,0.5632684976004788,ZARA商务衬衫 白色 M码,服装鞋帽,ZARA,314.05
305047,701828,5,0.5196311468948134,VIVOX100 Pro 512GB 钛色,电子产品,VIVO,2699.06
515032,3061679,1,0.7684504437096028,统一汤达人 130g*5袋,食品饮料,统一,36.19
515032,4547348,2,0.6735894150926068,OPPOReno11 Pro 256GB 绿色,电子产品,OPPO,1774.2
515032,1041272,3,0.6518015341426014,百事七喜 330ml*24罐,食品饮料,伊利,22.71
515032,5959961,4,0.6481979375858054,统一阿萨姆奶茶 500ml*15瓶,食品饮料,统一,58.6
515032,8569010,5,0.6413037155040396,蒙牛特仑苏 250ml*12盒,食品饮料,蒙牛,44.26
121322,9553189,1,0.7503546203672735,伊利安慕希 205g*12杯,食品饮料,伊利,52.38
121322,5596741,2,0.5616043369479764,西门子冰箱KA92NV02TI,家用电器,西门子,5730.1
121322,9213213,3,0.49349434453440194,蒙牛早餐奶 250ml*16盒,食品饮料,蒙牛,87.16
121322,3787731,4,0.4469068604919174,美的冰箱BCD-638WKPZM(E),家用电器,美的,3261.4
121322,9922972,5,0.4229546792990145,小米14 Ultra 1TB 白色,电子产品,小米,3918.36
978053,8359777,1,0.6616195088399995,安踏运动袜 3双装 黄色 XL码,服装鞋帽,安踏,97.74
978053,6440356,2,0.6228596053220118,苹果MacBook Pro M2 16GB/512GB,电子产品,苹果,10230.41
978053,4131957,3,0.6096552392404285,资生堂防晒霜 50g,美妆护肤,资生堂,267.94
978053,1437674,4,0.6086422719650564,苹果iPad Pro 12.9寸 1TB,电子产品,苹果,3818.54
978053,5247402,5,0.5736981771469012,阿迪达斯运动T恤 Climalite 白色 M码,服装鞋帽,阿迪达斯,160.91
317220,5877518,1,0.9716665110179215,安踏跑步鞋 C202 5代 黑色 42码,服装鞋帽,安踏,323.43
317220,8005001,2,0.7896653620557187,耐克运动鞋 Air Max 270 白色 42码,服装鞋帽,耐克,774.31
317220,1988867,3,0.7854801389678763,荣耀Magic6 Pro 512GB 紫色,电子产品,荣耀,2037.51
317220,5931368,4,0.7136712470266463,索菲亚电视柜 2m 白色,家居用品,索菲亚,2712.85
317220,4090109,5,0.6081980392219158,小米13 Pro 512GB 蓝色,电子产品,小米,4777.42
794769,7741678,1,0.8271045525924339,百事可乐 330ml*24罐,食品饮料,统一,36.5
794769,9553189,2,0.7418739817720255,伊利安慕希 205g*12杯,食品饮料,伊利,52.38
794769,3753127,3,0.6878071152026035,李宁跑步鞋 赤兔6 黑色 42码,服装鞋帽,李宁,426.81
794769,265553,4,0.6840486178349688,兰蔻菁纯口红 正红色,美妆护肤,兰蔻,246.61
794769,4243294,5,0.6603666231934875,康师傅冰红茶 500ml*12瓶,食品饮料,康师傅,75.45
389282,3715670,1,0.7595995742548524,百事美年达 330ml*24罐,食品饮料,统一,38.77
389282,6448942,2,0.6407068162688879,伊利QQ星 125ml*20盒,食品饮料,伊利,26.02
389282,8703665,3,0.6332232086370551,全友家居推拉门衣柜 2m 米色,家居用品,全友,5195.16
389282,2734479,4,0.5545456006474949,格力微波炉P70-20L,家用电器,格力,1624.95
389282,3111890,5,0.5503231392538317,欧派浴室柜 80cm 灰色,家居用品,欧派,2903.45
597732,1015679,1,0.8145571115802704,宜家书桌 1.2m 白色,家居用品,宜家,3606.76
597732,1988867,2,0.7294755875080703,荣耀Magic6 Pro 512GB 紫色,电子产品,荣耀,2037.51
597732,204773,3,0.4841013389571775,GAP牛仔裤 直筒款 黑色 32码,服装鞋帽,GAP,303.67
597732,5394778,4,0.44199792529170834,索菲亚茶几 80cm 米色,家居用品,索菲亚,2372.87
597732,9362627,5,0.43631655669471064,方太集成灶X1系列,家用电器,方太,734.0
814220,1462076,1,0.6176530265894156,统一老坛酸菜面 120g*5袋,食品饮料,统一,12.97
814220,6604951,2,0.6096071713802841,H&M男士衬衫 棕色 S码,服装鞋帽,H&M,340.34
814220,2654249,3,0.6070575440277394,老板集成灶S2系列,家用电器,老板,3723.78
814220,3739556,4,0.5930253129994166,李宁运动鞋 超轻20 红色 40码,服装鞋帽,李宁,570.87
814220,3111890,5,0.5801301983701609,欧派浴室柜 80cm 灰色,家居用品,欧派,2903.45
559023,1017947,1,0.7980176541863514,格力变频冰箱 BCD-520WPQC,家用电器,格力,7436.6
559023,7594339,2,0.7790812176212929,西门子洗碗机SJ236I00JC,家用电器,西门子,1103.42
559023,4447443,3,0.7147884048380493,老板油烟机CXW-260-27A3,家用电器,老板,4673.99
559023,1174435,4,0.654510665199121,李宁运动服 训练系列 蓝色 M码,服装鞋帽,李宁,284.11
559023,5954090,5,0.5962702749138872,华硕天选4 i7/16GB/1TB,电子产品,华硕,2346.39
502219,1293769,1,1.1143134593660562,欧莱雅复颜面膜 10片装,美妆护肤,欧莱雅,512.83
502219,4964744,2,0.8790072141331684,戴尔游匣G15 i7/16GB/1TB,电子产品,戴尔,7884.27
502219,274404,3,0.6477044040408549,方太洗碗机JBSD2T-X1S,家用电器,方太,775.68
502219,5959961,4,0.6336872441379856,统一阿萨姆奶茶 500ml*15瓶,食品饮料,统一,58.6
502219,1697102,5,0.5509232391412948,安踏运动外套 防风系列 蓝色 XL码,服装鞋帽,安踏,557.15
341292,3335552,1,0.6489619474520719,索菲亚餐椅 原木色,家居用品,索菲亚,320.84
341292,746111,2,0.610913855015518,欧莱雅洗发水 400ml,美妆护肤,欧莱雅,702.58
341292,6770816,3,0.6026907900713958,顾家真皮沙发 3人位 黑色,家居用品,顾家,10064.02
341292,7960554,4,0.592189546043098,荣耀Magic6 128GB 黑色,电子产品,荣耀,3311.19
341292,3715670,5,0.5786147078809432,百事美年达 330ml*24罐,食品饮料,统一,38.77
132146,7428837,1,0.7675220460244372,欧派岩板餐桌 1.4m 棕色,家居用品,欧派,2592.1
132146,4243294,2,0.7668592601108172,康师傅冰红茶 500ml*12瓶,食品饮料,康师傅,75.45
132146,8455672,3,0.7660743246159043,雅诗兰黛DW粉底液 象牙白 30ml,美妆护肤,雅诗兰黛,393.31
132146,1437674,4,0.5432453924689042,苹果iPad Pro 12.9寸 1TB,电子产品,苹果,3818.54
132146,9386381,5,0.5262730945739791,ZARA休闲外套 黄色 XL码,服装鞋帽,ZARA,928.24
289630,903142,1,0.7518605296952607,森马牛仔裤 修身款 蓝色 30码,服装鞋帽,森马,193.43
289630,9553189,2,0.6600706880262561,伊利安慕希 205g*12杯,食品饮料,伊利,52.38
289630,1660574,3,0.5864553738837799,耐克运动袜 3双装 红色 XL码,服装鞋帽,耐克,399.74
289630,5708649,4,0.5818810479029265,欧莱雅精华液 30ml,美妆护肤,欧莱雅,1814.26
289630,9435421,5,0.5604902466482107,康师傅绿茶 500ml*12瓶,食品饮料,康师傅,53.31
398910,7149676,1,0.8762177597700639,优衣库外套 轻型羽绒 灰色 XXL码,服装鞋帽,优衣库,716.77
398910,413384,2,0.7028262884800768,戴尔XPS15 i7/32GB/2TB,电子产品,戴尔,14348.67
398910,5382909,3,0.6912563670328037,顾家家居实木书桌 1.6m 棕色,家居用品,顾家,1790.83
398910,3739556,4,0.6867600967983216,李宁运动鞋 超轻20 红色 40码,服装鞋帽,李宁,570.87
398910,9338792,5,0.6320107941395355,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,优衣库,227.12
324345,2288023,1,0.6243351678534731,森马休闲外套 棕色 XL码,服装鞋帽,森马,605.03
324345,5743270,2,0.6237357114824337,联想ThinkPad X1 Carbon i7/16GB/1TB,电子产品,联想,3534.12
324345,8359777,3,0.6032315607342666,安踏运动袜 3双装 黄色 XL码,服装鞋帽,安踏,97.74
324345,3156543,4,0.6010474470641897,OPPOFind X7 512GB 白色,电子产品,OPPO,2766.11
324345,903142,5,0.5968045865549567,森马牛仔裤 修身款 蓝色 30码,服装鞋帽,森马,193.43
441716,4605552,1,0.6546239967732039,海尔空调KFR-72LW/08LCA81U1,家用电器,海尔,6158.56
441716,3744636,2,0.6291682376315294,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,华为,4415.07
441716,1975934,3,0.6225302033177915,安踏运动服 冠军系列 灰色 L码,服装鞋帽,安踏,219.34
441716,1462076,4,0.5881286908598015,统一老坛酸菜面 120g*5袋,食品饮料,统一,12.97
441716,8477582,5,0.5480926091555647,美的微波炉M3-L232F,家用电器,美的,623.65
501126,7317745,1,0.8604532886906641,可口可乐可乐 330ml*24罐,食品饮料,可口可乐,57.14
501126,5708649,2,0.8443232870193944,欧莱雅精华液 30ml,美妆护肤,欧莱雅,1814.26
501126,3609082,3,0.6194942271728248,三星Galaxy Z Flip5 256GB,电子产品,三星,7568.58
501126,204773,4,0.6057454582612538,GAP牛仔裤 直筒款 黑色 32码,服装鞋帽,GAP,303.67
501126,3794624,5,0.5913744909691653,耐克运动长裤 Tech Fleece 灰色 L码,服装鞋帽,耐克,584.25
437978,8821418,1,0.6436940239589372,资生堂红腰子精华 50ml,美妆护肤,资生堂,870.74
437978,7149676,2,0.6338750344119365,优衣库外套 轻型羽绒 灰色 XXL码,服装鞋帽,优衣库,716.77
437978,4605552,3,0.6270395987295875,海尔空调KFR-72LW/08LCA81U1,家用电器,海尔,6158.56
437978,8771005,4,0.6228660703504421,ZARA基础款T恤 灰色 S码,服装鞋帽,ZARA,79.73
437978,8758579,5,0.5986828653560693,迪奥粉底液 010 30ml,美妆护肤,迪奥,397.75
390120,1455106,1,0.6999713039189531,宜家办公椅 白色,家居用品,宜家,4253.85
390120,4090109,2,0.614011765996798,小米13 Pro 512GB 蓝色,电子产品,小米,4777.42
390120,3753127,3,0.5668470559093399,李宁跑步鞋 赤兔6 黑色 42码,服装鞋帽,李宁,426.81
