用户ID,商品ID,品牌,品牌ID,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价
768933,4073737,VIVO,647850,VIVOX100 Pro 128GB 蓝色,电子产品,1788515,buy,1512189107,6329.2
199704,4166112,全友,2509,全友板式床 1.5m 棕色,家居用品,2884020,buy,1512089912,3824.76
667451,5596741,西门子,718578,西门子冰箱KA92NV02TI,家用电器,8888283,buy,1512085631,5730.1
807160,3056490,优衣库,166135,优衣库修身牛仔裤 白色 XL码,服装鞋帽,6347472,buy,1511722348,172.61
350921,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,buy,1512203318,227.12
579318,1437674,苹果,849003,苹果iPad Pro 12.9寸 1TB,电子产品,1788515,buy,1512104490,3818.54
409727,3335552,索菲亚,803490,索菲亚餐椅 原木色,家居用品,2884020,buy,1511825473,320.84
150871,1041272,伊利,353571,百事七喜 330ml*24罐,食品饮料,7142910,buy,1512252085,22.71
823821,9213213,蒙牛,124278,蒙牛早餐奶 250ml*16盒,食品饮料,7142910,buy,1512064464,87.16
618392,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,buy,1511869473,314.05
922478,5931368,索菲亚,803490,索菲亚电视柜 2m 白色,家居用品,2884020,cart,1511855989,2712.85
457455,9109970,森马,329714,森马T恤 圆领款 黑色 S码,服装鞋帽,6347472,buy,1511736559,65.5
929924,7656052,苹果,849003,苹果iPhone 15 Pro Max 1TB 黑色,电子产品,1788515,pv,1511927701,6002.66
105814,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,buy,1511655584,3311.19
875232,9109970,森马,329714,森马T恤 圆领款 黑色 S码,服装鞋帽,6347472,buy,1511909266,65.5
137778,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,pv,1511791852,1319.95
848831,7611004,索菲亚,803490,索菲亚推拉门衣柜 2.2m 黑色,家居用品,2884020,buy,1511915229,4644.84
609892,4090109,小米,307716,小米13 Pro 512GB 蓝色,电子产品,1788515,buy,1511799853,4777.42
596756,148563,统一,188064,统一绿茶 500ml*12瓶,食品饮料,7142910,buy,1512077072,55.47
